id,motor,propeller,battery,number_of_batteries,cost,useful_thrust,avail_weight,endurance,throttle
9eb73d9c,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100003, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",5,2352.84,-2708.177777777777,6809.6,87.87519190075099,67.2038784067086
54961eaf,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100004, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",1,2352.84,2571.8222222222225,12089.6,17.575038380150204,67.2038784067086
7788886f,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100004, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",2,2352.84,1251.822222222223,10769.6,35.15007676030041,67.2038784067086
ea0f9c05,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100004, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",3,2352.84,-68.17777777777701,9449.6,52.72511514045061,67.2038784067086
cbe78dc8,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100004, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",4,2352.84,-1388.177777777777,8129.6,70.30015352060082,67.2038784067086
2c0b83f0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100004, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",5,2352.84,-2708.177777777777,6809.6,87.87519190075099,67.2038784067086
362d17a7,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550005, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",1,2352.84,3141.8222222222225,12659.6,9.666271109082611,67.2038784067086
af87ce8e,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550005, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",2,2352.84,2391.8222222222225,11909.6,19.332542218165223,67.2038784067086
342d9247,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550005, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",3,2352.84,1641.8222222222225,11159.6,28.998813327247827,67.2038784067086
20e11b64,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550005, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",4,2352.84,891.822222222223,10409.6,38.665084436330446,67.2038784067086
fe93046f,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550005, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",5,2352.84,141.822222222223,9659.6,48.33135554541306,67.2038784067086
be56dc23,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550006, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",1,2352.84,3141.8222222222225,12659.6,9.666271109082611,67.2038784067086
320126a2,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550006, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",2,2352.84,2391.8222222222225,11909.6,19.332542218165223,67.2038784067086
ea598897,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550006, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",3,2352.84,1641.8222222222225,11159.6,28.998813327247827,67.2038784067086
3c55ca36,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6550006, weight=750.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=5500.0, capacity_watt_hours=122.10)",4,2352.84,891.822222222223,10409.6,38.665084436330446,67.2038784067086
